user_id,order_id,Date,Amount,Merchant_id,Purchase_status
48468004,4196052624,2020-01-04,"50,000",15,
41804908,4195157048,2020-01-04,"100,000",14,Mua h?
17930178,4208656160,2020-01-05,"10,000",14,
36741853,4208931365,2020-01-05,"10,000",13,
50724201,4206303564,2020-01-05,"20,000",14,
32514604,4205854713,2020-01-05,"100,000",14,Mua h?
42449093,4201954845,2020-01-05,"20,000",12,
40297145,4202258054,2020-01-05,"50,000",12,
48642148,4208009161,2020-01-05,"20,000",12,
50164589,4201676138,2020-01-05,"20,000",12,
46786668,4206399447,2020-01-05,"50,000",12,
46938024,4206111595,2020-01-05,"10,000",13,
5609637,4203607181,2020-01-05,"30,000",14,
24996915,4206694027,2020-01-05,"50,000",14,
52341496,4209370223,2020-01-05,"100,000",12,Mua h?
39793072,4206481067,2020-01-05,"20,000",13,
50536653,4203747780,2020-01-05,"50,000",12,
44224725,4202603561,2020-01-05,"100,000",12,Mua h?
39643372,4206803877,2020-01-05,"50,000",13,
41037361,4208135077,2020-01-05,"20,000",15,
28192570,4204928092,2020-01-05,"20,000",13,
1020897,4203743220,2020-01-05,"50,000",12,
38441824,4205437612,2020-01-05,"20,000",13,
40674684,4208305397,2020-01-05,"20,000",12,
50037817,4203109408,2020-01-05,"20,000",15,
52146440,4205538260,2020-01-05,"20,000",12,
48918278,4208887560,2020-01-05,"20,000",12,
40393105,4211844699,2020-01-06,"10,000",15,
43667830,4212419253,2020-01-06,"10,000",13,
41744238,4212519174,2020-01-06,"10,000",13,
41737461,4210901794,2020-01-06,"100,000",13,
46148297,4215986274,2020-01-06,"100,000",14,
44092973,4211784198,2020-01-06,"10,000",14,
40754110,4211621636,2020-01-06,"50,000",12,
34925312,4218335573,2020-01-06,"50,000",13,
52307145,4215337396,2020-01-06,"50,000",12,
41213868,4215798679,2020-01-06,"50,000",12,
40914676,4214530856,2020-01-06,"50,000",12,
15431947,4215658287,2020-01-06,"20,000",12,
41662105,4210906739,2020-01-06,"10,000",12,
52286524,4212019431,2020-01-06,"20,000",14,
44277149,4216890957,2020-01-06,"50,000",13,
47612546,4210489691,2020-01-06,"10,000",12,
50802214,4217048837,2020-01-06,"50,000",13,
47954000,4217462362,2020-01-06,"20,000",12,
36826440,4210137846,2020-01-06,"50,000",14,
20536213,4209784686,2020-01-06,"100,000",13,Mua h?
31423896,4216099382,2020-01-06,"50,000",14,
27713094,4210318078,2020-01-06,"50,000",14,
45091126,4214248724,2020-01-06,"20,000",12,
41457711,4212525642,2020-01-06,"100,000",14,Mua h?
38838834,4217220450,2020-01-06,"100,000",12,Mua h?
43727357,4212257898,2020-01-06,"10,000",12,
36370239,4211250901,2020-01-06,"50,000",13,
44253392,4219801157,2020-01-07,"10,000",14,
47447314,4225890813,2020-01-07,"30,000",12,
42463210,4219529172,2020-01-07,"20,000",13,
21203234,4224184672,2020-01-07,"30,000",12,
43452424,4224018488,2020-01-07,"30,000",12,
4198027,4225518991,2020-01-07,"10,000",12,
36910469,4219213328,2020-01-07,"10,000",13,
31252154,4221203084,2020-01-07,"500,000",13,Mua h?
43889142,4223621861,2020-01-07,"100,000",12,
40034877,4220019404,2020-01-07,"50,000",14,
15420155,4221698835,2020-01-07,"10,000",12,
45612772,4220422348,2020-01-07,"30,000",12,
44637485,4219530285,2020-01-07,"100,000",12,
37089718,4236262793,2020-01-08,"10,000",14,
40323241,4233014457,2020-01-08,"10,000",14,
39070735,4237513216,2020-01-08,"20,000",13,
44363205,4236973519,2020-01-08,"20,000",12,
5319518,4229406419,2020-01-08,"50,000",13,
41217395,4229113933,2020-01-08,"100,000",13,Mua h?
47939444,4230717526,2020-01-08,"20,000",12,
41466242,4233008927,2020-01-08,"10,000",12,
47941938,4236338234,2020-01-08,"10,000",15,
45203001,4232209905,2020-01-08,"20,000",12,
1197234,4231365903,2020-01-08,"20,000",12,
42817538,4235134351,2020-01-08,"10,000",14,
41317552,4236373139,2020-01-08,"100,000",13,
51098879,4228618269,2020-01-08,"20,000",12,
50356824,4237681683,2020-01-08,"10,000",14,
44019750,4235530631,2020-01-08,"10,000",13,
48849717,4237461085,2020-01-08,"20,000",15,
42364953,4233690815,2020-01-08,"20,000",13,
49526720,4235727682,2020-01-08,"100,000",12,
42560232,4235424465,2020-01-08,"50,000",13,
44757772,4236374376,2020-01-08,"30,000",12,
51483064,4232262167,2020-01-08,"10,000",13,
44691575,4233857317,2020-01-08,"100,000",13,
11367669,4230460130,2020-01-08,"100,000",13,
25642381,4230621816,2020-01-08,"100,000",14,
47469275,4236329142,2020-01-08,"10,000",13,
2892775,4235452467,2020-01-08,"50,000",12,
35954126,4232163350,2020-01-08,"20,000",13,
48033441,4229632199,2020-01-08,"20,000",13,
33719853,4229116085,2020-01-08,"10,000",13,
33770156,4235531349,2020-01-08,"100,000",13,Mua h?
48517981,4232726658,2020-01-08,"50,000",13,
42831527,4236638939,2020-01-08,"20,000",12,
47018965,4235795318,2020-01-08,"30,000",12,
21689769,4234663407,2020-01-08,"50,000",12,
43768107,4234890686,2020-01-08,"30,000",12,
51989629,4228822660,2020-01-08,"50,000",12,
9146979,4238905058,2020-01-09,"10,000",13,
42351011,4242202785,2020-01-09,"20,000",12,
42218439,4245680473,2020-01-09,"50,000",12,
30148198,4244805057,2020-01-09,"20,000",15,
47357358,4242508126,2020-01-09,"20,000",13,
43664428,4245941211,2020-01-09,"100,000",12,
43026864,4239396240,2020-01-09,"20,000",13,
49134346,4244965506,2020-01-09,"20,000",12,
48643837,4246459787,2020-01-09,"20,000",12,
43345686,4246206628,2020-01-09,"50,000",12,
50552067,4238388238,2020-01-09,"50,000",14,
36395586,4246467481,2020-01-09,"50,000",14,
37163634,4244520926,2020-01-09,"20,000",13,
1622554,4246158219,2020-01-09,"20,000",12,
52426226,4238385256,2020-01-09,"20,000",12,
49779766,4238179676,2020-01-09,"50,000",12,
48787354,4241673916,2020-01-09,"20,000",12,
52334698,4241882254,2020-01-09,"20,000",12,
52445533,4245139770,2020-01-09,"20,000",12,
3613876,4246174399,2020-01-09,"50,000",13,
34887279,4243221826,2020-01-09,"50,000",15,
5815125,4243028084,2020-01-09,"100,000",14,Mua h?
35675758,4240594785,2020-01-09,"100,000",13,Mua h?
8073604,4243221374,2020-01-09,"50,000",12,
42471969,4245682537,2020-01-09,"10,000",14,
51032713,4240539432,2020-01-09,"10,000",13,
51089930,4244118086,2020-01-09,"20,000",12,
36864020,4240237500,2020-01-09,"100,000",14,
52347272,4246358161,2020-01-09,"20,000",12,
35056916,4245370946,2020-01-09,"500,000",12,Mua h?
47817269,4254510812,2020-01-10,"20,000",12,
42329421,4247772660,2020-01-10,"10,000",14,
7632573,4255450996,2020-01-10,"20,000",13,
44001367,4209784940,2020-01-10,"30,000",12,
51714329,4256476137,2020-01-10,"20,000",12,
42451994,4247059064,2020-01-10,"50,000",12,
47428397,4253663906,2020-01-10,"10,000",12,
49833157,4252455167,2020-01-10,"20,000",12,
42389554,4255721700,2020-01-10,"100,000",12,
44386343,4247007288,2020-01-10,"100,000",13,
34123069,4257961529,2020-01-10,"50,000",12,
35461528,4255609427,2020-01-10,"100,000",12,
49249730,4254136957,2020-01-10,"50,000",12,
51105356,4250288820,2020-01-10,"50,000",13,
40802283,4256058321,2020-01-10,"50,000",13,
42279804,4256797944,2020-01-10,"50,000",12,
13550288,4252655972,2020-01-10,"50,000",12,
38324491,4251082410,2020-01-10,"50,000",12,
38806113,4252450898,2020-01-10,"100,000",13,
13675873,4253199643,2020-01-10,"10,000",13,
43569055,4252396566,2020-01-10,"100,000",13,
26845132,4256941996,2020-01-10,"50,000",14,
25705984,4250000353,2020-01-10,"50,000",12,
42985097,4251901784,2020-01-10,"20,000",12,
38934916,4253082561,2020-01-10,"100,000",12,
45182455,4255618303,2020-01-10,"50,000",12,
36440157,4249001912,2020-01-10,"50,000",13,
39347978,4252358891,2020-01-10,"20,000",12,
42515456,4250513508,2020-01-10,"20,000",12,
39839374,4256176004,2020-01-10,"100,000",12,
22723529,4256578906,2020-01-10,"50,000",12,
39442112,4252256075,2020-01-10,"50,000",12,
47576982,4249319229,2020-01-10,"10,000",13,
33053111,4247910296,2020-01-10,"100,000",12,
25721158,4410385519,2020-01-10,"10,000",15,
28700972,4415024443,2020-01-10,"50,000",12,
50487574,4418136135,2020-01-10,"100,000",14,
43042005,4411360254,2020-01-10,"40,000",12,
38424434,4409895584,2020-01-10,"30,000",12,
52295961,4251567631,2020-01-10,"50,000",14,
46184049,4248919419,2020-01-10,"100,000",12,
9921411,4253663430,2020-01-10,"20,000",14,
50211356,4252799748,2020-01-10,"50,000",13,
2274807,4257516382,2020-01-10,"20,000",14,
39846258,4250421361,2020-01-10,"50,000",13,
43454675,4256052273,2020-01-10,"100,000",13,
40671528,4418475214,2020-01-10,"50,000",12,
13893398,4257495499,2020-01-10,"50,000",14,
46574068,4252753654,2020-01-10,"200,000",12,Mua h?
38401841,4253280233,2020-01-10,"200,000",13,Mua h?
44273566,4250428433,2020-01-10,"200,000",12,Mua h?
40803430,4251979377,2020-01-10,"200,000",12,Mua h?
38391287,4252174604,2020-01-10,"200,000",12,Mua h?
45200302,4416643826,2020-01-10,"200,000",12,Mua h?
28558150,4258609327,2020-01-11,"20,000",14,
36191322,4260615973,2020-01-11,"100,000",13,
32861848,4263403651,2020-01-11,"20,000",13,
16161253,4263180725,2020-01-11,"100,000",13,Mua h?
10694723,4260096276,2020-01-11,"10,000",13,
45548581,4262185954,2020-01-11,"50,000",13,
43506001,4260057073,2020-01-11,"20,000",12,
50322869,4260051273,2020-01-11,"100,000",12,
46388025,4266034223,2020-01-11,"20,000",12,
42881582,4263181240,2020-01-11,"20,000",12,
41746002,4266230523,2020-01-11,"10,000",14,
43617075,4259075349,2020-01-11,"20,000",12,
31539509,4259323537,2020-01-11,"50,000",14,
33804946,4260237965,2020-01-11,"30,000",14,
35470748,4259062121,2020-01-11,"20,000",13,
34481864,4266228681,2020-01-11,"100,000",13,Mua h?
49661540,4264251816,2020-01-11,"100,000",12,
48651043,4260050049,2020-01-11,"100,000",12,
41195199,4264631755,2020-01-11,"50,000",12,
42060060,4265250172,2020-01-11,"50,000",12,
27151170,4264375019,2020-01-11,"10,000",13,
50459249,4261164625,2020-01-11,"200,000",14,Mua h?
42891474,4270849803,2020-01-12,"20,000",13,
47755421,4268544543,2020-01-12,"100,000",12,
41918065,4272998079,2020-01-12,"20,000",14,
48456016,4272742332,2020-01-12,"100,000",14,
47464233,4271572512,2020-01-12,"10,000",12,
46800012,4270957817,2020-01-12,"20,000",12,
43987269,4267824395,2020-01-12,"100,000",12,
48918029,4272130558,2020-01-12,"20,000",12,
42632476,4274884210,2020-01-12,"30,000",12,
45702532,4267031095,2020-01-12,"50,000",12,
38717390,4273184478,2020-01-12,"30,000",13,
45814345,4270742500,2020-01-12,"50,000",12,
47890182,4267212468,2020-01-12,"50,000",14,
35563083,4272361226,2020-01-12,"100,000",13,Mua h?
202226,4271780529,2020-01-12,"294,234",13,Mua h?
46832575,4273434002,2020-01-12,"100,000",13,Mua h?
50466109,4273038689,2020-01-12,"50,000",13,
43919701,4274066423,2020-01-12,"20,000",14,
46268744,4272786263,2020-01-12,"200,000",12,Mua h?
40600198,4268465269,2020-01-12,"200,000",12,Mua h?
45749530,4272909058,2020-01-12,"300,000",12,Mua h?
35517576,4276439245,2020-01-13,"10,000",14,
44438335,4280754119,2020-01-13,"20,000",14,
42299903,4278017410,2020-01-13,"20,000",13,
40907562,4284428657,2020-01-13,"20,000",14,
34372942,4279016150,2020-01-13,"50,000",13,Mua h?
1880491,4282262855,2020-01-13,"50,000",14,Mua h?
39996251,4276191329,2020-01-13,"100,000",12,
35809421,4282613761,2020-01-13,"20,000",12,
46812774,4277400624,2020-01-13,"10,000",12,
47448038,4276630993,2020-01-13,"10,000",12,
43648575,4277399687,2020-01-13,"20,000",12,
43414098,4277853957,2020-01-13,"20,000",12,
42111364,4276633686,2020-01-13,"20,000",12,
36297633,4276658995,2020-01-13,"100,000",12,
10390729,4275796347,2020-01-13,"20,000",12,
46027260,4276481152,2020-01-13,"100,000",12,
39323324,4283292778,2020-01-13,"100,000",13,
48697266,4275203425,2020-01-13,"10,000",12,
32929947,4277775787,2020-01-13,"100,000",12,
35577527,4278977491,2020-01-13,"50,000",13,
52134740,4275321882,2020-01-13,"100,000",13,
51808451,4280042606,2020-01-13,"10,000",12,
43561403,4280850272,2020-01-13,"20,000",14,
38893572,4280800661,2020-01-13,"50,000",13,
51311237,4282174631,2020-01-13,"10,000",12,
34927594,4277083666,2020-01-13,"20,000",13,
47062484,4281804132,2020-01-13,"20,000",12,
44662096,4276812878,2020-01-13,"200,000",14,Mua h?
50172024,4277823564,2020-01-13,"100,000",13,Mua h?
24298385,4282852743,2020-01-13,"500,000",12,Mua h?
47669625,4286736044,2020-01-14,"10,000",13,
43892454,4289607259,2020-01-14,"50,000",15,Mua h?
49816940,4286122050,2020-01-14,"50,000",12,
40362358,4286330831,2020-01-14,"10,000",14,
44835596,4288358523,2020-01-14,"20,000",14,
32483138,4287439068,2020-01-14,"10,000",14,
4909145,4286560776,2020-01-14,"50,000",12,
35170279,4291463165,2020-01-14,"50,000",12,
27726642,4292098827,2020-01-14,"50,000",14,Mua h?
52251083,4289078903,2020-01-14,"30,000",12,
27572385,4285745298,2020-01-14,"10,000",14,
48958788,4287199018,2020-01-14,"50,000",12,
44953659,4285126975,2020-01-14,"50,000",13,
27247779,4288447786,2020-01-14,"20,000",12,
31002880,4291267848,2020-01-14,"10,000",13,
51186317,4287042491,2020-01-14,"20,000",12,
32729598,4290389654,2020-01-14,"20,000",14,
36750106,4294734246,2020-01-14,"20,000",12,
33826188,4284808507,2020-01-14,"20,000",14,
46687077,4292057545,2020-01-14,"20,000",14,
23969101,4292757679,2020-01-14,"10,000",12,
14825031,4291147491,2020-01-14,"20,000",12,
40209115,4290197982,2020-01-14,"100,000",12,
12397789,4289167600,2020-01-14,"100,000",12,
46189115,4287441928,2020-01-14,"100,000",14,Mua h?
49407473,4290682066,2020-01-14,"30,000",14,
20348288,4293191478,2020-01-14,"20,000",14,
16231655,4290684047,2020-01-14,"50,000",14,
11903314,4286121793,2020-01-14,"30,000",12,
40722988,4293123246,2020-01-14,"100,000",13,
26237545,4292040243,2020-01-14,"100,000",14,
20554325,4286608164,2020-01-14,"20,000",12,
46320501,4294138030,2020-01-14,"20,000",15,
41212792,4291935544,2020-01-14,"30,000",12,
52425028,4288190067,2020-01-14,"10,000",12,
44890534,4291508983,2020-01-14,"300,000",12,Mua h?
42637114,4301484271,2020-01-15,"10,000",13,
49340312,4296080642,2020-01-15,"100,000",13,
31443965,4296229696,2020-01-15,"50,000",13,
41816849,4297809574,2020-01-15,"20,000",15,
44863493,4298190307,2020-01-15,"20,000",13,Mua h?
43159038,4297430286,2020-01-15,"20,000",15,Mua h?
40190618,4297219429,2020-01-15,"50,000",13,Mua h?
14844588,4297400878,2020-01-15,"20,000",13,
49525979,4301170933,2020-01-15,"100,000",12,
40679826,4296267376,2020-01-15,"200,000",13,Mua h?
41730116,4300785322,2020-01-15,"200,000",13,Mua h?
46249752,4296298635,2020-01-15,"20,000",12,
11042606,4304165220,2020-01-15,"20,000",15,
52448443,4295244618,2020-01-15,"20,000",12,
41567981,4298195711,2020-01-15,"20,000",12,
51693388,4302603548,2020-01-15,"20,000",12,
3160085,4304647968,2020-01-15,"10,000",12,
48303209,4297779829,2020-01-15,"100,000",12,
23990113,4296800802,2020-01-15,"10,000",13,
46036233,4297260101,2020-01-15,"50,000",12,
47906377,4302157248,2020-01-15,"10,000",14,
39987769,4301624064,2020-01-15,"20,000",12,
39241413,4304020281,2020-01-15,"20,000",13,
35061017,4304835934,2020-01-15,"50,000",12,
21687161,4297399000,2020-01-15,"100,000",13,
49582817,4304515551,2020-01-15,"20,000",12,
45007563,4304511042,2020-01-15,"20,000",12,
41604907,4296058169,2020-01-15,"100,000",12,
49249788,4304124847,2020-01-15,"100,000",12,
49660265,4295097442,2020-01-15,"20,000",14,
38212230,4297858102,2020-01-15,"10,000",14,
52573506,4297161365,2020-01-15,"10,000",12,
14904918,4298891241,2020-01-15,"50,000",13,
8309206,4296266330,2020-01-15,"20,000",12,
49112955,4302652038,2020-01-15,"10,000",15,
3670903,4300162417,2020-01-15,"20,000",13,
42750247,4297631376,2020-01-15,"20,000",12,
45987162,4303748214,2020-01-15,"100,000",12,
42148969,4304196003,2020-01-15,"10,000",14,
46406675,4300029947,2020-01-15,"20,000",12,
38852016,4298044486,2020-01-15,"200,000",12,Mua h?
20793304,4306457327,2020-01-16,"50,000",13,
45936795,4307712347,2020-01-16,"30,000",13,
46435809,4305564471,2020-01-16,"10,000",12,
48786851,4309493066,2020-01-16,"10,000",14,
51414175,4309947741,2020-01-16,"20,000",15,
42665799,4308075056,2020-01-16,"20,000",12,
40023109,4312253628,2020-01-16,"20,000",14,
47495876,4309099423,2020-01-16,"10,000",13,
39926272,4306757959,2020-01-16,"50,000",12,
6448843,4310692592,2020-01-16,"30,000",12,
41893071,4311702857,2020-01-16,"20,000",12,
42931153,4312291546,2020-01-16,"10,000",12,
44116712,4305900479,2020-01-16,"100,000",12,
43061646,4310407920,2020-01-16,"50,000",12,
44656516,4306179999,2020-01-16,"20,000",12,
34997381,4308361091,2020-01-16,"100,000",12,
18081726,4307899017,2020-01-16,"20,000",14,
42148322,4312290097,2020-01-16,"30,000",13,
35002553,4311106474,2020-01-16,"50,000",12,
32531095,4312332310,2020-01-16,"50,000",13,
32839633,4311209071,2020-01-16,"10,000",13,
29862147,4308003952,2020-01-16,"10,000",13,
9683678,4314210182,2020-01-16,"50,000",13,
4887895,4310216540,2020-01-16,"100,000",12,
7465349,4309097886,2020-01-16,"20,000",12,
22430873,4314747176,2020-01-16,"10,000",13,
41770449,4311537831,2020-01-16,"200,000",12,
46487056,4310049943,2020-01-16,"20,000",15,
51556860,4309692437,2020-01-16,"200,000",12,Mua h?
38881020,4322497201,2020-01-17,"20,000",15,Mua h?
40580801,4327228021,2020-01-17,"50,000",12,
44912730,4317241612,2020-01-17,"20,000",14,
45646694,4327848513,2020-01-17,"50,000",13,
44730398,4326881276,2020-01-17,"30,000",13,
50512115,4321886202,2020-01-17,"20,000",12,
31717773,4319726133,2020-01-17,"10,000",12,
43644689,4329351571,2020-01-17,"100,000",12,
30905179,4328705364,2020-01-17,"10,000",13,
51723983,4321719696,2020-01-17,"50,000",14,
45618167,4327223165,2020-01-17,"100,000",13,
